filename,mcd_dB
KAS_F_NAMES_01244.wav,5.6694
KAS_F_NAMES_01259.wav,5.6474
KAS_F_NAMES_01264.wav,5.3604
KAS_F_NAMES_01276.wav,5.8759
KAS_F_NAMES_01281.wav,5.0096
KAS_F_NAMES_01287.wav,5.4448
KAS_F_NAMES_01291.wav,5.3577
KAS_F_NAMES_01301.wav,5.4531
KAS_F_NAMES_01308.wav,6.1875
KAS_F_NAMES_01324.wav,5.1156
KAS_F_NAMES_01326.wav,5.4686
KAS_F_NAMES_01332.wav,5.3816
KAS_F_NAMES_01336.wav,5.7304
KAS_F_NAMES_01383.wav,5.4608
KAS_F_NAMES_01388.wav,5.9423
KAS_F_NAMES_01394.wav,5.3450
KAS_F_NAMES_01397.wav,5.6610
KAS_F_NAMES_01424.wav,6.2234
KAS_F_NAMES_01464.wav,5.5243
KAS_F_NAMES_01495.wav,5.2151
KAS_F_NAMES_01496.wav,5.9299
KAS_F_NAMES_01500.wav,5.0296
KAS_F_NAMES_01506.wav,5.4773
KAS_F_NAMES_01532.wav,5.5345
KAS_F_NAMES_01536.wav,5.4310
KAS_F_NAMES_01548.wav,5.2023
KAS_F_NAMES_01559.wav,4.9144
KAS_F_NAMES_01579.wav,5.1881
KAS_F_NAMES_01586.wav,5.5772
KAS_F_NAMES_01598.wav,5.4951
KAS_F_NAMES_01607.wav,6.3706
KAS_F_NAMES_01608.wav,5.9696
KAS_F_NAMES_01612.wav,5.9820
KAS_F_NAMES_01618.wav,5.7583
KAS_F_NAMES_01629.wav,5.4120
KAS_F_NAMES_01632.wav,6.1019
KAS_F_NAMES_01633.wav,5.6798
KAS_F_NAMES_01646.wav,5.2847
KAS_F_NAMES_01653.wav,5.9670
KAS_F_NAMES_01663.wav,5.2539
KAS_F_NAMES_01674.wav,5.6786
KAS_F_NAMES_01688.wav,5.2249
KAS_F_NAMES_01691.wav,5.4185
KAS_F_NAMES_01693.wav,5.7954
KAS_F_NAMES_01708.wav,5.4995
KAS_F_NAMES_01728.wav,5.0116
KAS_F_NAMES_01734.wav,5.3727
KAS_F_NAMES_01738.wav,6.3121
KAS_F_NAMES_01741.wav,5.3585
KAS_F_NAMES_01759.wav,5.4117
KAS_F_NAMES_01767.wav,5.6299
KAS_F_NAMES_01789.wav,6.2831
KAS_F_NAMES_01797.wav,5.6035
KAS_F_NAMES_01811.wav,5.2086
KAS_F_NAMES_01814.wav,6.0410
KAS_F_NAMES_01826.wav,5.5119
